# stars45degtime,stars45degbarDist,stars45degdiskDist,stars90degtime,stars90degbarDist,stars90degdiskDist,stars0degtime,stars0degbarDist,stars0degdiskDist,stars0deg_retrotime,stars0deg_retrobarDist,stars0deg_retrodiskDist
   3.70000,    0.01139,    0.23627,    3.70000,    0.01161,    0.06033,    3.70000,    0.02109,    0.12717,    3.70000,    0.00848,    0.14098
   3.72500,    0.00590,    0.18169,    3.72500,    0.00820,    0.09558,    3.72500,    0.01546,    0.12867,    3.72500,    0.03047,    0.13615
   3.75000,    0.01086,    0.21449,    3.75000,    0.02803,    0.11142,    3.75000,    0.02235,    0.10165,    3.75000,    0.02126,    0.11519
   3.77500,    0.00996,    0.19822,    3.77500,    0.01038,    0.09014,    3.77500,    0.02021,    0.08717,    3.77500,    0.01036,    0.05437
   3.80000,    0.00246,    0.21252,    3.80000,    0.00784,    0.08206,    3.80000,    0.00878,    0.12095,    3.80000,    0.01705,    0.03373
   3.82500,    0.01000,    0.18780,    3.82500,    0.03519,    0.04053,    3.82500,    0.01402,    0.10373,    3.82500,    0.00250,    0.08335
   3.85000,    0.01211,    0.18707,    3.85000,    0.00655,    0.03518,    3.85000,    0.01946,    0.12141,    3.85000,    0.01586,    0.11151
   3.87500,    0.01831,    0.17757,    3.87500,    0.00890,    0.04151,    3.87500,    0.00247,    0.15044,    3.87500,    0.00504,    0.14592
   3.90000,    0.01241,    0.21165,    3.90000,    0.01238,    0.06024,    3.90000,    0.00436,    0.15518,    3.90000,    0.00738,    0.13131
   3.92500,    0.01416,    0.23498,    3.92500,    0.01788,    0.08544,    3.92500,    0.01019,    0.15940,    3.92500,    0.00928,    0.13997
   3.95000,    0.00850,    0.24770,    3.95000,    0.03927,    0.08662,    3.95000,    0.00351,    0.12691,    3.95000,    0.01423,    0.13489
   3.97500,    0.01472,    0.24855,    3.97500,    0.01445,    0.09268,    3.97500,    0.02760,    0.06327,    3.97500,    0.01117,    0.16048
   4.00000,    0.00459,    0.22640,    4.00000,    0.01004,    0.10839,    4.00000,    0.01019,    0.02658,    4.00000,    0.00428,    0.11511
   4.00000,    0.00459,    0.22640,    4.00000,    0.00960,    0.10799,    4.00000,    0.01019,    0.02646,    4.00000,    0.00427,    0.11503
